,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16494,139,49,13,23
External Position,166,255,1,0,15
Global Position,142,1,162,0,1
Altitude,99,0,0,62,0
Mechanical/Electrical,317,11,5,0,11
