dataset,method,fault_runs,detected,normal_alarms,normal_runs,pre_onset,clean_fault_only,top1,top3,top5,mrr,delay_median_s,delay_max_s
development,channel_gate_fixed_rank,12,12,0,12,0,12,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,11.622984500000001,14.026572000000002
development,channel_gate_new_rank,12,12,0,12,0,12,0.5,1.0,1.0,0.75,11.622984500000001,14.026572000000002
development,original_primary,12,10,0,12,0,10,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.5833333333333334,12.024588999999999,66.020044
transfer,channel_gate_fixed_rank,12,12,9,12,7,2,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,11.621163500000002,14.821414999999995
transfer,channel_gate_new_rank,12,12,9,12,7,2,0.5,1.0,1.0,0.75,11.621163500000002,14.821414999999995
transfer,original_primary,12,10,3,12,3,7,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,11.623171,107.62304699999999
