dataset,group,run_id,channel,windows,valid_windows
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0.control[0],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0.control[1],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0.control[2],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_controls_0.control[3],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[0],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[1],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[2],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[3],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[4],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[5],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[6],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,actuator_outputs.output[7],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status.current_a,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status.current_filtered_a,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status.discharged_mah,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status.remaining,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status.voltage_filtered_v,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,battery_status.voltage_v,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,cpuload.load,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,cpuload.ram_usage,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,distance_sensor.current_distance,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.hagl_innov,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.heading_innov,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.output_tracking_error[0],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.output_tracking_error[1],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.output_tracking_error[2],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.vel_pos_innov[3],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.vel_pos_innov[4],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,ekf2_innovations.vel_pos_innov[5],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.hagl_test_ratio,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.hgt_test_ratio,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.mag_test_ratio,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.pos_horiz_accuracy,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.pos_test_ratio,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.pos_vert_accuracy,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.vibe[0],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.vibe[1],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,estimator_status.vibe[2],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint.r,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint.x,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint.y,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,manual_control_setpoint.z,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,rate_ctrl_status.pitchspeed_integ,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,rate_ctrl_status.rollspeed_integ,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,rate_ctrl_status.yawspeed_integ,73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_combined.accelerometer_m_s2[0],73,71
development,normal,commander_nav_state_override__2019-01-18__08_39_38__baseline,sensor_combined.accelerometer_m_s2[1],73,71
