dataset,group,run_id,topic,shared_fraction,shared_packets_used
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,distance_sensor,1.0,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,ekf2_innovations,0.0,False
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,estimator_status,0.0,False
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,manual_control_setpoint,0.993993993993994,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,rate_ctrl_status,0.9995291902071564,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,sensor_combined,0.9993461721350452,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,sensor_preflight,1.0,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_attitude,1.0,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_land_detected,1.0,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_local_position,1.0,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,0.9995285242809995,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_status,1.0,True
development,normal,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,vehicle_vision_position,0.9884881043745203,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,actuator_controls_0,0.0,False
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,actuator_outputs,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,battery_status,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,cpuload,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,distance_sensor,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,ekf2_innovations,0.0,False
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,estimator_status,0.0,False
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,manual_control_setpoint,0.9978165938864629,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,rate_ctrl_status,0.9996598639455783,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,sensor_combined,0.9992247394263072,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,sensor_preflight,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_attitude,0.9996595165134491,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_land_detected,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_local_position,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,0.9996590521650187,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_status,1.0,True
development,normal,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,vehicle_vision_position,0.9968068121341139,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,actuator_controls_0,0.0,False
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,actuator_outputs,1.0,True
development,normal,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,battery_status,1.0,True
