run_id,matched_prefix_samples,max_offset_deviation_us,origin_us,anchor_limit
commander_nav_state_override__2019-01-18__08_39_38__baseline,256,0,16475,256
commander_nav_state_override__2019-01-18__08_39_38__fault,256,0,23547,256
commander_nav_state_override__2019-01-25__17_38_05__baseline,256,0,29425,256
commander_nav_state_override__2019-01-25__17_38_05__fault,256,0,30406,256
commander_nav_state_override__2019-03-06__08_02_26__baseline,256,0,20989,256
commander_nav_state_override__2019-03-06__08_02_26__fault,256,0,24294,256
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,256,0,35341,256
ekf2_innovation_bias__2019-01-18__08_39_38__fault,256,0,30096,256
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,256,0,36781,256
ekf2_innovation_bias__2019-01-25__17_38_05__fault,256,0,18760,256
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,256,0,58422,256
ekf2_innovation_bias__2019-03-06__08_02_26__fault,256,0,21868,256
inav_local_z_freeze__2019-01-18__08_39_38__baseline,256,0,22654,256
inav_local_z_freeze__2019-01-18__08_39_38__fault,256,0,19056,256
inav_local_z_freeze__2019-01-25__17_38_05__baseline,256,0,25974,256
inav_local_z_freeze__2019-01-25__17_38_05__fault,256,0,28526,256
inav_local_z_freeze__2019-03-06__08_02_26__baseline,256,0,21453,256
inav_local_z_freeze__2019-03-06__08_02_26__fault,256,0,27705,256
land_detector_state_inversion__2019-01-18__08_39_38__baseline,256,0,22372,256
land_detector_state_inversion__2019-01-18__08_39_38__fault,256,0,20686,256
land_detector_state_inversion__2019-01-25__17_38_05__baseline,256,0,31651,256
land_detector_state_inversion__2019-01-25__17_38_05__fault,256,0,28913,256
land_detector_state_inversion__2019-03-06__08_02_26__baseline,256,0,24993,256
land_detector_state_inversion__2019-03-06__08_02_26__fault,256,0,18229,256
