run_id,condition,windows,start_us,duration_s,score_min,score_median,score_max,feature_finite,zero_feature_fraction,missing_topics
commander_nav_state_override__2019-01-18__08_39_38__baseline,baseline,73,16475,68.766742,0.0018991666353547812,0.02811866570927423,0.9842704981743549,True,0.030485137948529542,
commander_nav_state_override__2019-01-18__08_39_38__fault,fault,93,23547,84.731565,0.0004644597826514112,0.03391047334871072,0.9837595658541488,True,0.05287768302228814,
commander_nav_state_override__2019-01-25__17_38_05__baseline,baseline,120,29425,106.307047,0.0002757703835514361,0.012354084257154393,0.4931254918852272,True,0.032199872286079186,
commander_nav_state_override__2019-01-25__17_38_05__fault,fault,124,30406,109.719263,0.00027330076191324916,0.012934236780854596,0.4279445403241231,True,0.04169756519589667,
commander_nav_state_override__2019-03-06__08_02_26__baseline,baseline,109,20989,97.810842,0.0009124053600315211,0.011449416970072358,0.7220262579114899,True,0.02892896059615452,
commander_nav_state_override__2019-03-06__08_02_26__fault,fault,131,24294,114.73166,0.00014258850670838746,0.0039025996242685584,0.6878789478862618,True,0.04823881528277422,
ekf2_innovation_bias__2019-01-18__08_39_38__baseline,baseline,73,35341,68.778886,0.0025577472312797163,0.1187948929296597,0.8366244996160515,True,0.07384663832467328,
ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,73,30096,68.775784,0.0026778733932845498,0.19140453569162816,0.8447241257014746,True,0.07541244598400952,
ekf2_innovation_bias__2019-01-25__17_38_05__baseline,baseline,105,36781,94.246066,0.0007048122354872176,0.013029228969901694,0.15466824781344596,True,0.06943380161770966,
ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,105,18760,94.234074,0.0011460063383191444,0.025512185840270558,0.1530640995180525,True,0.0721462020312595,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,baseline,109,58422,97.834823,0.0004157346217731735,0.0031490480117446168,0.5653069621599716,True,0.0769857171312407,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,109,21868,97.846796,0.0005577068593637528,0.004515346177482878,0.5694932553101106,True,0.07516960174347077,
inav_local_z_freeze__2019-01-18__08_39_38__baseline,baseline,91,22654,83.047301,0.004679235494659723,0.03773784283779284,0.9026648735947175,True,0.06754101581687788,
inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,90,19056,82.643549,0.0045139902041816905,0.03920445939762232,0.891009879178523,True,0.06756775933021143,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,baseline,123,25974,108.526572,0.0006784187529975987,0.02222700453186035,0.7299448566121306,True,0.06301072589269954,
inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,123,28526,108.827755,0.0006767094293076999,0.020142077039467316,0.7572335317112602,True,0.0655442378178571,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,baseline,129,21453,113.818117,0.0005249955779459612,0.006291384220855001,0.8068719944102207,True,0.06625283396200263,
inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,129,27705,113.801531,0.0005249955779459612,0.007350368961906816,0.8501477587147295,True,0.06883681329016801,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,baseline,91,22372,82.927487,0.0004644597826514112,0.03596431489590895,0.9842704981743549,True,0.045247217661010766,
land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,73,20686,68.806742,0.0018368120044391836,0.027646763319611998,0.9837595658541488,True,0.030152731853251458,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,baseline,121,31651,107.092227,0.0002757703835514361,0.012173469370324146,0.45608814160432753,True,0.03445109401222254,
land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,105,28913,94.215911,0.0004794921591299054,0.020122067894426013,0.4799568815206574,True,0.022483731679133978,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,baseline,130,24993,113.956057,0.00013376843919574126,0.0024108495684952314,0.6878789478862618,True,0.045186167599960705,
land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,109,18229,97.73116,0.00021139453037419322,0.0023145043012032943,0.6878789478862618,True,0.02847200253084467,
