method,fault_runs,detected_runs,detector_recall,top1,top3,top5,mrr,normal_false_alarm_runs,normal_runs,normal_false_alarm_rate,fault_pre_onset_alarm_runs,clean_fault_only_detected_runs
paired_residual,12,7,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.2708333333333333,1,12,0.08333333333333333,0,6
residual_gate_original_shap,12,7,0.5833333333333334,0.25,0.25,0.3333333333333333,0.27678571428571425,1,12,0.08333333333333333,0,6
