method,fault_runs,detected_runs,detector_recall,top1,top3,top5,mrr,normal_false_alarm_runs,normal_runs,normal_false_alarm_rate,fault_pre_onset_alarm_runs,clean_fault_only_detected_runs
paired_residual,12,12,1.0,0.3333333333333333,0.8333333333333334,1.0,0.5972222222222222,4,12,0.3333333333333333,0,8
residual_gate_original_shap,12,12,1.0,0.25,0.5,0.5833333333333334,0.4133597883597883,4,12,0.3333333333333333,0,8
