pair_id,module,score,rank
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/fw_pos_control_l1,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/gnd_att_control,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/gnd_pos_control,0.297503799525505,9.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/gpio_led,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/land_detector,8.209712150316284,2.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/landing_target_estimator,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/load_mon,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/logger,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/mavlink,13.221560988683155,1.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/mc_att_control,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/mc_pos_control,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/navigator,0.297503799525505,9.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/position_estimator_inav,2.2646511663651805,4.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/replay,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/sdlog2,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/sensors,0.17196720903636153,20.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/simulator,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/syslink,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/uavcan,0.17326338479233466,19.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/vtol_att_control,2.5752304629653304,3.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/modules/wind_estimator,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_bebop_bus_wrapper,0.17326338479233466,19.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_isl29501_wrapper,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_ltc2946_wrapper,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/platforms/posix/drivers/df_trone_wrapper,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/platforms/qurt/fc_addon/uart_esc,0.17326338479233466,19.0
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/platforms/qurt/tests/muorb,0.0,
normal:commander_nav_state_override__2019-01-18__08_39_38__baseline,src/templates/module,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/batt_smbus,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/blinkm,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/camera_trigger,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/distance_sensor,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/linux_pwm_out,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/mkblctrl,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/pwm_out_sim,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/px4flow,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/px4fmu,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/px4io,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/snapdragon_pwm_out,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/tap_esc,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/telemetry,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/drivers/vmount,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/examples/fixedwing_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/examples/hwtest,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/examples/px4_simple_app,1.1898856200878052,4.0
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/examples/rover_steering_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/examples/uuv_example_app,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/attitude_estimator_q,1.1898856200878052,4.0
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/camera_feedback,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/commander,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/ekf2,1.1898856200878052,4.0
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/events,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/fw_att_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/fw_pos_control_l1,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/gnd_att_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/gnd_pos_control,0.0,
normal:ekf2_innovation_bias__2019-01-18__08_39_38__baseline,src/modules/gpio_led,0.0,
