,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16358,196,71,29,64
External Position,110,307,7,0,13
Global Position,105,4,197,0,0
Altitude,97,3,0,61,0
Mechanical/Electrical,263,9,10,0,62
