,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16344,212,70,22,70
External Position,102,315,7,0,13
Global Position,104,4,198,0,0
Altitude,93,7,0,61,0
Mechanical/Electrical,268,11,7,0,58
