,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16383,194,66,19,56
External Position,116,307,5,0,9
Global Position,109,4,193,0,0
Altitude,95,6,0,60,0
Mechanical/Electrical,270,14,1,0,59
