,Normal,External Position,Global Position,Altitude,Mechanical/Electrical
Normal,16364,198,71,25,60
External Position,98,320,7,0,12
Global Position,106,4,196,0,0
Altitude,99,6,0,56,0
Mechanical/Electrical,271,10,8,0,55
