protocol,method,metric,value,relative_to_fixed,estimate,bootstrap_mean,ci_low,ci_high,bootstrap_repetitions,bootstrap_unit_count
fixed_chronological,stage1,AUPRC,0.7523668851991087,1.0,0.7523668851991087,0.7508803607246937,0.6855044100295488,0.8057894852675939,1000,1369
purged_14_windows,stage1,AUPRC,0.5936413141323651,0.7890316889415754,0.5936413141323651,0.5926356292812764,0.4739264711304802,0.7026724433832898,1000,826
fixed_chronological,stage2,Macro-F1,0.8981823801062768,1.0,0.8981823801062768,0.8945583068354386,0.8536255511487502,0.9310228304244311,1000,260
purged_14_windows,stage2,Macro-F1,0.7982730768623023,0.8887650153723202,0.7982730768623023,0.7887965698816847,0.7116243349536945,0.849380384260176,1000,104
fixed_chronological,cascade,Macro-F1,0.6855034634538795,1.0,0.6855034634538795,0.6815997942240978,0.6288272833480442,0.7299876292577193,1000,1369
purged_14_windows,cascade,Macro-F1,0.5443951033845412,0.7941536876292792,0.5443951033845412,0.5282937231415601,0.426488333943444,0.6014451914240411,1000,826
fixed_chronological,direct_five_class,Macro-F1,0.6599069903898498,1.0,0.6560368217774117,0.6519406452384976,0.5964020654399743,0.7043993406560133,1000,1369
purged_14_windows,direct_five_class,Macro-F1,0.5961783738983449,0.9034278808687021,0.5961783738983449,0.5802295995267825,0.48367323275826274,0.6628769746855867,1000,826
