dataset,source_log,run_id,condition,mutation_id,method,detected,any_alarm,pre_onset_alarm,normal_post30_alarm,first_alarm_s,delay_s,observation_end_s,rank,top1,top3,top5,mrr
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__baseline,normal,land_detector_state_inversion,original_primary,False,False,False,False,,,97.61984299999999,,0,0,0,0.0
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__baseline,normal,land_detector_state_inversion,channel_gate_fixed_rank,False,False,False,False,,,97.61984299999999,,0,0,0,0.0
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__baseline,normal,land_detector_state_inversion,channel_gate_new_rank,False,False,False,False,,,97.61984299999999,,0,0,0,0.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,32.021462,2.0214619999999996,67.221462,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,32.021462,2.0214619999999996,67.221462,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,32.021462,2.0214619999999996,67.221462,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,32.027716,2.027715999999998,93.62771599999999,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,32.027716,2.027715999999998,93.62771599999999,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,32.027716,2.027715999999998,93.62771599999999,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,32.022125,2.0221250000000026,96.022125,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,32.022125,2.0221250000000026,96.022125,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,32.022125,2.0221250000000026,96.022125,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,ekf2_innovation_bias,original_primary,False,False,False,False,,,67.22780900000001,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,False,True,32.827808999999995,2.827808999999995,67.22780900000001,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,False,True,32.827808999999995,2.827808999999995,67.22780900000001,1.0,1,1,1,1.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,ekf2_innovation_bias,original_primary,False,False,False,False,,,92.81672499999999,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,False,True,32.816725,2.816724999999998,92.81672499999999,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,False,True,32.816725,2.816724999999998,92.81672499999999,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,ekf2_innovation_bias,original_primary,True,True,False,True,96.020044,66.020044,96.020044,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,False,True,32.820043999999996,2.8200439999999958,96.020044,1.0,1,1,1,1.0
development,2019-03-06__08_02_26,ekf2_innovation_bias__2019-03-06__08_02_26__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,False,True,32.820043999999996,2.8200439999999958,96.020044,1.0,1,1,1,1.0
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,inav_local_z_freeze,original_primary,True,True,False,True,62.417708,32.417708,68.817708,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,44.017708,14.017707999999999,68.817708,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,inav_local_z_freeze__2019-01-18__08_39_38__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,44.017708,14.017707999999999,68.817708,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,inav_local_z_freeze,original_primary,True,True,False,True,81.626572,51.626571999999996,93.626572,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,44.026572,14.026572000000002,93.626572,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,inav_local_z_freeze__2019-01-25__17_38_05__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,44.026572,14.026572000000002,93.626572,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,inav_local_z_freeze,original_primary,True,True,False,True,85.626177,55.626177,97.626177,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,44.826176999999994,14.826176999999994,97.626177,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,inav_local_z_freeze__2019-03-06__08_02_26__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,44.826176999999994,14.826176999999994,97.626177,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,land_detector_state_inversion,original_primary,True,True,False,True,31.216905999999998,1.216905999999998,67.21690600000001,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,land_detector_state_inversion,channel_gate_fixed_rank,True,True,False,True,31.216905999999998,1.216905999999998,67.21690600000001,2.0,0,1,1,0.5
development,2019-01-18__08_39_38,land_detector_state_inversion__2019-01-18__08_39_38__fault,fault,land_detector_state_inversion,channel_gate_new_rank,True,True,False,True,31.216905999999998,1.216905999999998,67.21690600000001,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,land_detector_state_inversion,original_primary,True,True,False,True,31.223844,1.2238439999999997,92.823844,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,land_detector_state_inversion,channel_gate_fixed_rank,True,True,False,True,31.223844,1.2238439999999997,92.823844,2.0,0,1,1,0.5
development,2019-01-25__17_38_05,land_detector_state_inversion__2019-01-25__17_38_05__fault,fault,land_detector_state_inversion,channel_gate_new_rank,True,True,False,True,31.223844,1.2238439999999997,92.823844,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,land_detector_state_inversion,original_primary,True,True,False,True,31.213741,1.2137409999999988,96.013741,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,land_detector_state_inversion,channel_gate_fixed_rank,True,True,False,True,31.213741,1.2137409999999988,96.013741,2.0,0,1,1,0.5
development,2019-03-06__08_02_26,land_detector_state_inversion__2019-03-06__08_02_26__fault,fault,land_detector_state_inversion,channel_gate_new_rank,True,True,False,True,31.213741,1.2137409999999988,96.013741,2.0,0,1,1,0.5
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__baseline,normal,commander_nav_state_override,original_primary,True,True,True,True,11.232558,2.832557999999999,87.232558,,0,0,0,0.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,True,True,False,12.832558,,87.232558,,0,0,0,0.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,True,True,False,12.832558,,87.232558,,0,0,0,0.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__baseline,normal,commander_nav_state_override,original_primary,True,True,False,True,89.615898,59.615898,123.21589800000001,,0,0,0,0.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,False,False,False,,,123.21589800000001,,0,0,0,0.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,False,False,False,,,123.21589800000001,,0,0,0,0.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__baseline,normal,commander_nav_state_override,original_primary,True,True,True,True,11.216792,74.016792,140.81679200000002,,0,0,0,0.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,True,True,False,11.216792,,140.81679200000002,,0,0,0,0.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,True,True,False,11.216792,,140.81679200000002,,0,0,0,0.0
transfer,2018-12-19__07_49_17,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,normal,ekf2_innovation_bias,original_primary,True,True,True,True,11.217917,0.4179169999999992,85.61791699999999,,0,0,0,0.0
transfer,2018-12-19__07_49_17,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,True,True,11.217917,0.4179169999999992,85.61791699999999,,0,0,0,0.0
transfer,2018-12-19__07_49_17,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,normal,ekf2_innovation_bias,channel_gate_new_rank,True,True,True,True,11.217917,0.4179169999999992,85.61791699999999,,0,0,0,0.0
transfer,2018-12-20__07_47_50,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,normal,ekf2_innovation_bias,original_primary,True,True,True,True,12.818491,0.4184909999999995,121.61849099999999,,0,0,0,0.0
transfer,2018-12-20__07_47_50,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,True,True,12.018491,0.4184909999999995,121.61849099999999,,0,0,0,0.0
transfer,2018-12-20__07_47_50,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,normal,ekf2_innovation_bias,channel_gate_new_rank,True,True,True,True,12.018491,0.4184909999999995,121.61849099999999,,0,0,0,0.0
transfer,2018-12-25__08_44_40,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,normal,ekf2_innovation_bias,original_primary,True,True,True,True,11.220495999999999,8.420496,140.020496,,0,0,0,0.0
transfer,2018-12-25__08_44_40,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,False,True,True,False,13.620496,,140.020496,,0,0,0,0.0
transfer,2018-12-25__08_44_40,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,normal,ekf2_innovation_bias,channel_gate_new_rank,False,True,True,False,13.620496,,140.020496,,0,0,0,0.0
transfer,2018-12-19__07_49_17,inav_local_z_freeze__2018-12-19__07_49_17__baseline,normal,inav_local_z_freeze,original_primary,True,True,True,True,11.22951,42.82951,87.22951,,0,0,0,0.0
transfer,2018-12-19__07_49_17,inav_local_z_freeze__2018-12-19__07_49_17__baseline,normal,inav_local_z_freeze,channel_gate_fixed_rank,False,True,True,False,11.22951,,87.22951,,0,0,0,0.0
transfer,2018-12-19__07_49_17,inav_local_z_freeze__2018-12-19__07_49_17__baseline,normal,inav_local_z_freeze,channel_gate_new_rank,False,True,True,False,11.22951,,87.22951,,0,0,0,0.0
transfer,2018-12-20__07_47_50,inav_local_z_freeze__2018-12-20__07_47_50__baseline,normal,inav_local_z_freeze,original_primary,True,True,True,True,16.820272,56.42027200000001,123.22027200000001,,0,0,0,0.0
transfer,2018-12-20__07_47_50,inav_local_z_freeze__2018-12-20__07_47_50__baseline,normal,inav_local_z_freeze,channel_gate_fixed_rank,False,False,False,False,,,123.22027200000001,,0,0,0,0.0
transfer,2018-12-20__07_47_50,inav_local_z_freeze__2018-12-20__07_47_50__baseline,normal,inav_local_z_freeze,channel_gate_new_rank,False,False,False,False,,,123.22027200000001,,0,0,0,0.0
transfer,2018-12-25__08_44_40,inav_local_z_freeze__2018-12-25__08_44_40__baseline,normal,inav_local_z_freeze,original_primary,False,True,True,False,11.21706,,141.61705999999998,,0,0,0,0.0
transfer,2018-12-25__08_44_40,inav_local_z_freeze__2018-12-25__08_44_40__baseline,normal,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,139.21705999999998,109.21705999999998,141.61705999999998,,0,0,0,0.0
transfer,2018-12-25__08_44_40,inav_local_z_freeze__2018-12-25__08_44_40__baseline,normal,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,139.21705999999998,109.21705999999998,141.61705999999998,,0,0,0,0.0
transfer,2018-12-19__07_49_17,land_detector_state_inversion__2018-12-19__07_49_17__baseline,normal,land_detector_state_inversion,original_primary,True,True,True,True,11.231278999999999,14.031278999999998,87.231279,,0,0,0,0.0
transfer,2018-12-19__07_49_17,land_detector_state_inversion__2018-12-19__07_49_17__baseline,normal,land_detector_state_inversion,channel_gate_fixed_rank,False,True,True,False,12.831279,,87.231279,,0,0,0,0.0
transfer,2018-12-19__07_49_17,land_detector_state_inversion__2018-12-19__07_49_17__baseline,normal,land_detector_state_inversion,channel_gate_new_rank,False,True,True,False,12.831279,,87.231279,,0,0,0,0.0
transfer,2018-12-20__07_47_50,land_detector_state_inversion__2018-12-20__07_47_50__baseline,normal,land_detector_state_inversion,original_primary,False,False,False,False,,,123.21819500000001,,0,0,0,0.0
transfer,2018-12-20__07_47_50,land_detector_state_inversion__2018-12-20__07_47_50__baseline,normal,land_detector_state_inversion,channel_gate_fixed_rank,False,False,False,False,,,123.21819500000001,,0,0,0,0.0
transfer,2018-12-20__07_47_50,land_detector_state_inversion__2018-12-20__07_47_50__baseline,normal,land_detector_state_inversion,channel_gate_new_rank,False,False,False,False,,,123.21819500000001,,0,0,0,0.0
transfer,2018-12-25__08_44_40,land_detector_state_inversion__2018-12-25__08_44_40__baseline,normal,land_detector_state_inversion,original_primary,True,True,True,True,11.216244,74.016244,141.616244,,0,0,0,0.0
transfer,2018-12-25__08_44_40,land_detector_state_inversion__2018-12-25__08_44_40__baseline,normal,land_detector_state_inversion,channel_gate_fixed_rank,False,False,False,False,,,141.616244,,0,0,0,0.0
transfer,2018-12-25__08_44_40,land_detector_state_inversion__2018-12-25__08_44_40__baseline,normal,land_detector_state_inversion,channel_gate_new_rank,False,False,False,False,,,141.616244,,0,0,0,0.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__fault,fault,commander_nav_state_override,original_primary,True,True,False,True,32.024026,2.024025999999999,87.22402600000001,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,32.024026,2.024025999999999,87.22402600000001,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,commander_nav_state_override__2018-12-19__07_49_17__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,32.024026,2.024025999999999,87.22402600000001,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__fault,fault,commander_nav_state_override,original_primary,True,True,True,True,14.422316,2.0223159999999964,123.222316,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,False,True,32.022316,2.0223159999999964,123.222316,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,commander_nav_state_override__2018-12-20__07_47_50__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,False,True,32.022316,2.0223159999999964,123.222316,1.0,1,1,1,1.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__fault,fault,commander_nav_state_override,original_primary,True,True,True,True,11.224953,2.0249529999999965,140.82495300000002,1.0,1,1,1,1.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__fault,fault,commander_nav_state_override,channel_gate_fixed_rank,True,True,True,True,11.224953,2.0249529999999965,140.82495300000002,1.0,1,1,1,1.0
transfer,2018-12-25__08_44_40,commander_nav_state_override__2018-12-25__08_44_40__fault,fault,commander_nav_state_override,channel_gate_new_rank,True,True,True,True,11.224953,2.0249529999999965,140.82495300000002,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,ekf2_innovation_bias__2018-12-19__07_49_17__fault,fault,ekf2_innovation_bias,original_primary,True,True,True,True,11.222598,0.42259799999999714,86.42259800000001,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,ekf2_innovation_bias__2018-12-19__07_49_17__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,True,True,12.022598,0.42259799999999714,86.42259800000001,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,ekf2_innovation_bias__2018-12-19__07_49_17__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,True,True,12.022598,0.42259799999999714,86.42259800000001,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,ekf2_innovation_bias__2018-12-20__07_47_50__fault,fault,ekf2_innovation_bias,original_primary,True,True,True,True,12.018876,0.41887599999999736,121.618876,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,ekf2_innovation_bias__2018-12-20__07_47_50__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,True,True,12.018876,0.41887599999999736,121.618876,1.0,1,1,1,1.0
transfer,2018-12-20__07_47_50,ekf2_innovation_bias__2018-12-20__07_47_50__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,True,True,12.018876,0.41887599999999736,121.618876,1.0,1,1,1,1.0
transfer,2018-12-25__08_44_40,ekf2_innovation_bias__2018-12-25__08_44_40__fault,fault,ekf2_innovation_bias,original_primary,True,True,True,True,13.624724,5.224724000000002,140.824724,1.0,1,1,1,1.0
transfer,2018-12-25__08_44_40,ekf2_innovation_bias__2018-12-25__08_44_40__fault,fault,ekf2_innovation_bias,channel_gate_fixed_rank,True,True,True,True,13.624724,3.6247240000000005,140.824724,1.0,1,1,1,1.0
transfer,2018-12-25__08_44_40,ekf2_innovation_bias__2018-12-25__08_44_40__fault,fault,ekf2_innovation_bias,channel_gate_new_rank,True,True,True,True,13.624724,3.6247240000000005,140.824724,1.0,1,1,1,1.0
transfer,2018-12-19__07_49_17,inav_local_z_freeze__2018-12-19__07_49_17__fault,fault,inav_local_z_freeze,original_primary,True,True,True,True,11.221414999999999,2.8214149999999947,87.22141500000001,,0,0,0,0.0
transfer,2018-12-19__07_49_17,inav_local_z_freeze__2018-12-19__07_49_17__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,True,True,12.821415,14.821414999999995,87.22141500000001,,0,0,0,0.0
transfer,2018-12-19__07_49_17,inav_local_z_freeze__2018-12-19__07_49_17__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,True,True,12.821415,14.821414999999995,87.22141500000001,2.0,0,1,1,0.5
transfer,2018-12-20__07_47_50,inav_local_z_freeze__2018-12-20__07_47_50__fault,fault,inav_local_z_freeze,original_primary,True,True,True,True,16.818601,54.818601,123.218601,,0,0,0,0.0
transfer,2018-12-20__07_47_50,inav_local_z_freeze__2018-12-20__07_47_50__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,44.818600999999994,14.818600999999994,123.218601,,0,0,0,0.0
transfer,2018-12-20__07_47_50,inav_local_z_freeze__2018-12-20__07_47_50__fault,fault,inav_local_z_freeze,channel_gate_new_rank,True,True,False,True,44.818600999999994,14.818600999999994,123.218601,2.0,0,1,1,0.5
transfer,2018-12-25__08_44_40,inav_local_z_freeze__2018-12-25__08_44_40__fault,fault,inav_local_z_freeze,original_primary,True,True,True,True,13.623047,17.223047,141.62304699999999,7.0,0,0,0,0.14285714285714285
transfer,2018-12-25__08_44_40,inav_local_z_freeze__2018-12-25__08_44_40__fault,fault,inav_local_z_freeze,channel_gate_fixed_rank,True,True,False,True,45.623047,15.623047,141.62304699999999,7.0,0,0,0,0.14285714285714285
