mode,run_id,source_log,condition,mutation_id,threshold,any_alarm,pre_onset_alarm,detected,detection_delay_s,fresh_post_windows,gated_windows,ground_truth_rank,top1,top3,top5,mrr
calibrated_fresh,commander_nav_state_override__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,commander_nav_state_override,0.6488278367655712,True,False,True,22.0,47,9,,0.0,0.0,0.0,0.0
calibrated_fresh,commander_nav_state_override__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,commander_nav_state_override,0.6488278367655712,True,False,True,22.0,49,9,2.0,0.0,1.0,1.0,0.5
calibrated_fresh,commander_nav_state_override__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,commander_nav_state_override,0.9603595982669498,False,False,False,,80,0,,0.0,0.0,0.0,0.0
calibrated_fresh,commander_nav_state_override__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,commander_nav_state_override,0.9603595982669498,False,False,False,,80,0,,0.0,0.0,0.0,0.0
calibrated_fresh,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,baseline,commander_nav_state_override,0.9603595982669498,False,False,False,,83,0,,0.0,0.0,0.0,0.0
calibrated_fresh,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,0.9603595982669498,False,False,False,,85,0,,0.0,0.0,0.0,0.0
calibrated_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,ekf2_innovation_bias,0.6488278367655712,True,False,True,26.0,47,1,,0.0,0.0,0.0,0.0
calibrated_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,0.6488278367655712,False,False,False,,47,0,,0.0,0.0,0.0,0.0
calibrated_fresh,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,ekf2_innovation_bias,0.9603595982669498,False,False,False,,79,0,,0.0,0.0,0.0,0.0
calibrated_fresh,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,0.9603595982669498,False,False,False,,79,0,,0.0,0.0,0.0,0.0
calibrated_fresh,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,baseline,ekf2_innovation_bias,0.9603595982669498,False,False,False,,83,0,,0.0,0.0,0.0,0.0
calibrated_fresh,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,0.9603595982669498,False,False,False,,83,0,,0.0,0.0,0.0,0.0
calibrated_fresh,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,inav_local_z_freeze,0.6488278367655712,True,False,True,22.799999999999997,49,5,,0.0,0.0,0.0,0.0
calibrated_fresh,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,inav_local_z_freeze,0.6488278367655712,True,False,True,22.799999999999997,49,5,,0.0,0.0,0.0,0.0
calibrated_fresh,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,inav_local_z_freeze,0.9603595982669498,False,False,False,,80,0,,0.0,0.0,0.0,0.0
calibrated_fresh,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,0.9603595982669498,False,False,False,,80,0,,0.0,0.0,0.0,0.0
calibrated_fresh,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,baseline,inav_local_z_freeze,0.9603595982669498,False,False,False,,85,0,,0.0,0.0,0.0,0.0
calibrated_fresh,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,0.9603595982669498,False,False,False,,85,0,,0.0,0.0,0.0,0.0
calibrated_fresh,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,land_detector_state_inversion,0.6488278367655712,True,False,True,22.0,49,10,,0.0,0.0,0.0,0.0
calibrated_fresh,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,land_detector_state_inversion,0.6488278367655712,True,False,True,22.0,47,10,5.0,0.0,0.0,1.0,0.2
calibrated_fresh,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,land_detector_state_inversion,0.9603595982669498,False,False,False,,80,0,,0.0,0.0,0.0,0.0
calibrated_fresh,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,0.9603595982669498,False,False,False,,79,0,,0.0,0.0,0.0,0.0
calibrated_fresh,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,baseline,land_detector_state_inversion,0.9603595982669498,False,False,False,,85,0,,0.0,0.0,0.0,0.0
calibrated_fresh,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,0.9603595982669498,False,False,False,,83,0,,0.0,0.0,0.0,0.0
