mode,run_id,source_log,condition,mutation_id,threshold,any_alarm,pre_onset_alarm,detected,detection_delay_s,fresh_post_windows,gated_windows,ground_truth_rank,top1,top3,top5,mrr
fixed_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,ekf2_innovation_bias,0.3374776883274057,True,False,True,18.0,47,21,,0.0,0.0,0.0,0.0
fixed_fresh,ekf2_innovation_bias__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,ekf2_innovation_bias,0.3374776883274057,True,False,True,18.799999999999997,47,17,1.0,1.0,1.0,1.0,1.0
fixed_fresh,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,ekf2_innovation_bias,0.3374776883274057,False,False,False,,79,0,,0.0,0.0,0.0,0.0
fixed_fresh,ekf2_innovation_bias__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,ekf2_innovation_bias,0.3374776883274057,False,False,False,,79,0,,0.0,0.0,0.0,0.0
fixed_fresh,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,baseline,ekf2_innovation_bias,0.3374776883274057,True,False,True,50.8,83,12,,0.0,0.0,0.0,0.0
fixed_fresh,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,0.3374776883274057,True,False,True,50.8,83,11,1.0,1.0,1.0,1.0,1.0
fixed_fresh,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,inav_local_z_freeze,0.3374776883274057,True,False,True,18.799999999999997,49,14,,0.0,0.0,0.0,0.0
fixed_fresh,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,inav_local_z_freeze,0.3374776883274057,True,False,True,19.6,49,14,12.0,0.0,0.0,0.0,0.08333333333333333
fixed_fresh,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,inav_local_z_freeze,0.3374776883274057,False,False,False,,80,0,,0.0,0.0,0.0,0.0
fixed_fresh,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,inav_local_z_freeze,0.3374776883274057,False,False,False,,80,0,,0.0,0.0,0.0,0.0
fixed_fresh,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,baseline,inav_local_z_freeze,0.3374776883274057,True,False,True,50.8,85,7,,0.0,0.0,0.0,0.0
fixed_fresh,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,0.3374776883274057,True,False,True,46.0,85,8,9.0,0.0,0.0,0.0,0.1111111111111111
fixed_fresh,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,baseline,land_detector_state_inversion,0.3374776883274057,True,False,True,16.4,49,23,,0.0,0.0,0.0,0.0
fixed_fresh,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,fault,land_detector_state_inversion,0.3374776883274057,True,False,True,18.0,47,23,20.0,0.0,0.0,0.0,0.05
fixed_fresh,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,baseline,land_detector_state_inversion,0.3374776883274057,True,False,True,50.0,80,3,,0.0,0.0,0.0,0.0
fixed_fresh,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,fault,land_detector_state_inversion,0.3374776883274057,True,False,True,50.0,79,3,6.0,0.0,0.0,0.0,0.16666666666666666
fixed_fresh,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,baseline,land_detector_state_inversion,0.3374776883274057,True,False,True,50.8,85,17,,0.0,0.0,0.0,0.0
fixed_fresh,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,0.3374776883274057,True,False,True,50.8,83,17,,0.0,0.0,0.0,0.0
